carrier_id,date_filled
5745870,2024-03-12
5746748,2024-03-19
5748338,2024-04-02
5748564,2024-03-18
5748618,2024-04-03
5748964,2024-04-09
5749972,2024-03-29
5750423,2024-04-22
5751316,2024-04-27
5751363,2024-05-01
5751399,2024-04-24
5751622,2024-05-06
5751818,2024-05-07
5752084,2024-05-09
5752184,2024-05-10
5752197,2024-05-10
5752252,2024-05-10
5752676,2024-05-12
5752778,2024-05-07
5752924,2024-04-25
5753060,2024-05-17
5753169,2024-05-18
5753261,2024-05-21
5753270,2024-05-20
5753502,2024-05-22
5753682,2024-05-12
5753692,2024-05-28
5753846,2024-05-24
5753849,2024-05-29
5754120,2024-05-30
5754296,2024-06-02
5754297,2024-06-02
5754305,2024-05-30
5754661,2024-06-06
5754668,2024-05-23
5754835,2024-06-07
5756240,2024-06-20
5756252,2024-05-22
5756368,2024-06-25
5756535,2024-06-20
5756763,2024-06-28
5756765,2024-06-28
5756844,2024-06-25
5756869,2024-06-04
5756918,2024-07-01
5757046,2024-07-02
5757756,2024-05-23
5757765,2024-07-10
5757805,2024-07-08
5758064,2024-07-12
5758152,2024-07-13
5758259,2024-07-11
5758309,2024-07-12
5758394,2024-07-12
5758423,2024-07-11
5758432,07/17/2024
5758584,07/17/2024
5758708,07/17/2024
5758749,07/18/2024
5758952,07/22/2024
5759008,2024-07-22
5759212,2024-07-24
5759481,07/16/2024
5759664,07/26/2024
5759691,07/29/2024
5759876,07/26/2024
5760308,08/05/2024
5760423,08/05/2024
5760470,08/06/2024
5760501,08/05/2024
5760509,08/02/2024
5760572,08/06/2024
5760730,07/25/2024
5761037,08/10/2024
5761142,08/09/2024
5761173,08/12/2024
5761262,08/13/2024
5761717,08/16/2024
5761793,08/14/2024
5762018,2024-08-13
5762042,08/20/2024
5762085,08/16/2024
5762097,08/20/2024
5762367,08/17/2024
5762372,08/21/2024
5762627,08/23/2024
5762638,08/26/2024
5762819,08/27/2024
5762849,08/16/2024
5763108,08/26/2024
5763634,08/30/2024
5763656,09/03/2024
5763657,09/03/2024
5763658,09/01/2024
5763796,09/05/2024
5763953,09/04/2024
5764023,08/30/2024
5764259,09/10/2024
5764277,09/09/2024
5764388,09/11/2024
5764475,09/11/2024
5764487,09/11/2024
5765023,2024-09-16
5765064,09/14/2024
5765075,09/12/2024
5765342,09/15/2024
5765484,09/19/2024
5765502,09/19/2024
5765554,09/20/2024
5765882,09/23/2024
5765975,09/23/2024
5765976,08/14/2024
5765984,09/20/2024
5765985,09/19/2024
5766112,09/25/2024
5766270,09/19/2024
5766278,09/26/2024
5766432,09/27/2024
5766587,09/29/2024
5766620,09/25/2024
5766622,10/01/2024
5766734,09/30/2024
5766799,10/02/2024
5766802,10/02/2024
5766833,10/01/2024
5767093,10/02/2024
5767202,10/03/2024
5767247,10/04/2024
